stream,gender,log_quo,read_sk,hsc score,sports_in,sports_ac,arts_in,arts_rel,teach_sk,comm_sk,stage_in,lead,lead_m,chem_in,chem_sk,tech_in,tech_sh,tech_s_s,tech_h_s,bio_in,bio_class,bio_pr,fam_bus,fam_biz,pub_serv,maths_sk,visual,career
bio,other,1,7,329,yes,2,no,0,0,0,no,8,6,no,0,no,0,0,0,no,0,0,yes,industrial,5,3,4,Marketing Management
maths,other,10,5,359,yes,4,yes,literature,10,6,no,8,1,yes,7,no,0,0,0,no,0,0,yes,agriculture,8,8,1,Sports Science
bio,other,10,10,469,no,0,no,0,3,3,yes,5,7,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,3,8,7,Business/Industrial Mngmnt.
bio,other,5,10,275,yes,5,yes,music,8,1,no,6,10,no,0,yes,software,0,0,yes,nutritionist,dental,yes,industrial,4,7,7,Sports Science
bio,male,4,2,317,no,0,yes,literature,6,10,yes,10,5,no,0,yes,software,0,0,yes,nutritionist,veterinary,yes,enterprise,6,5,4,Medicine and Nutrition
commerce,female,0,9,111,no,0,yes,fineart,5,10,no,8,9,no,0,yes,hardware,0,0,yes,medical,physician,yes,enterprise,6,6,3,Marketing Management
maths,other,6,1,385,yes,4,no,0,5,3,yes,9,10,no,0,yes,hardware,0,0,no,0,0,no,0,2,2,3,Sports Science
arts,other,9,7,452,yes,4,no,0,2,6,no,8,3,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,5,7,1,Sports Science
commerce,other,0,1,45,no,0,yes,tourism,10,6,yes,10,5,yes,3,yes,software,0,0,yes,nutritionist,pediatrician,yes,enterprise,3,1,6,Teaching
none,other,0,0,259,yes,3,no,0,8,5,no,9,10,yes,10,no,0,0,0,yes,medical,pediatrician,yes,industrial,1,4,10,Marketing Management
arts,female,0,5,301,yes,2,yes,fineart,6,1,yes,10,3,no,0,yes,hardware,0,0,yes,medical,orthopaedic,no,0,6,1,6,Medicine and Nutrition
arts,male,6,10,430,yes,1,no,0,0,3,no,4,7,yes,8,no,0,0,0,yes,medical,orthopaedic,yes,enterprise,1,6,4,Chemical Engineering
commerce,male,5,6,221,yes,3,no,0,6,5,no,8,9,no,0,no,0,0,0,no,0,0,no,0,10,9,10,Marketing Management
arts,male,4,0,49,yes,5,no,0,7,5,yes,3,2,no,0,no,0,0,0,yes,medical,pediatrician,no,0,7,8,5,Sports Science
arts,other,10,2,479,yes,2,no,0,8,5,no,4,2,no,0,no,0,0,0,yes,medical,physician,yes,construction,2,4,9,Medicine and Nutrition
arts,male,7,8,454,yes,5,no,0,2,9,no,7,1,yes,3,yes,hardware,0,0,no,0,0,yes,industrial,10,3,4,Sports Science
maths,male,0,5,226,yes,2,yes,tourism,10,2,yes,6,5,yes,9,no,0,0,0,yes,medical,orthopaedic,no,0,7,3,4,Chemical Engineering
maths,female,5,9,68,no,0,yes,theatre,2,0,yes,9,7,yes,10,no,0,0,0,yes,medical,veterinary,no,0,8,5,10,Theatre & Tourism
arts,male,6,0,338,no,0,yes,fineart,8,6,yes,4,9,yes,1,no,0,0,0,yes,medical,orthopaedic,yes,construction,1,8,3,Teaching
bio,other,5,4,95,yes,4,yes,fineart,2,10,yes,9,9,no,0,yes,hardware,0,0,yes,medical,orthopaedic,yes,construction,5,2,10,Sports Science
commerce,female,9,1,402,yes,5,no,0,0,0,no,3,10,yes,3,yes,hardware,0,0,yes,medical,dental,no,0,4,7,10,Sports Science
bio,male,7,4,463,no,0,no,0,6,3,yes,2,5,yes,8,yes,hardware,0,0,no,0,0,no,0,1,5,8,Chemical Engineering
maths,female,4,2,288,no,0,no,0,10,6,no,9,3,yes,10,yes,hardware,0,0,yes,medical,veterinary,no,0,5,2,1,Teaching
commerce,male,8,6,438,yes,5,yes,theatre,7,7,no,7,9,yes,9,yes,software,0,0,no,0,0,no,0,2,7,1,Sports Science
commerce,other,3,6,126,no,0,no,0,3,7,no,4,9,yes,3,yes,software,0,0,no,0,0,yes,agriculture,6,3,7,Business/Industrial Mngmnt.
bio,male,10,9,459,no,0,no,0,8,7,no,5,7,yes,8,no,0,0,0,yes,medical,pediatrician,yes,agriculture,3,6,7,Teaching
maths,female,2,9,299,no,0,yes,music,1,8,no,10,8,no,0,yes,software,0,0,no,0,0,yes,agriculture,5,7,8,Marketing Management
commerce,male,4,8,231,yes,5,yes,theatre,0,0,no,8,7,no,0,yes,hardware,0,0,yes,nutritionist,pediatrician,yes,industrial,2,9,10,Sports Science
arts,female,2,9,32,no,0,yes,fineart,8,7,yes,8,9,yes,10,no,0,0,0,no,0,0,no,0,3,10,2,Teaching
commerce,male,1,10,217,yes,3,no,0,1,2,no,7,7,no,0,yes,hardware,0,0,no,0,0,no,0,7,5,10,Marketing Management
maths,other,0,2,268,no,0,no,0,1,6,yes,10,10,no,0,yes,software,0,0,yes,medical,physician,no,0,1,10,6,Marketing Management
maths,female,8,2,405,no,0,yes,tourism,2,9,no,10,7,yes,6,no,0,0,0,no,0,0,yes,agriculture,4,10,7,Marketing Management
none,female,2,4,49,yes,5,no,0,5,1,yes,4,7,no,0,yes,hardware,0,0,no,0,0,no,0,6,8,7,Sports Science
commerce,female,4,5,315,yes,4,yes,fineart,4,2,yes,1,2,yes,8,yes,software,0,0,yes,medical,pediatrician,no,0,10,6,4,Sports Science
maths,female,5,9,112,no,0,yes,theatre,2,8,no,1,10,yes,7,no,0,0,0,no,0,0,yes,agriculture,7,9,3,Theatre & Tourism
commerce,other,5,1,246,yes,4,no,0,2,7,yes,1,1,no,0,yes,hardware,0,0,no,0,0,yes,industrial,10,5,6,Sports Science
commerce,female,5,3,18,yes,5,no,0,4,1,no,10,6,yes,7,yes,hardware,0,0,yes,medical,orthopaedic,no,0,8,1,4,Sports Science
arts,female,3,3,88,yes,3,yes,music,8,2,no,2,7,yes,10,no,0,0,0,no,0,0,no,0,1,6,1,Chemical Engineering
maths,male,9,9,407,yes,4,no,0,5,2,no,4,6,no,0,yes,hardware,0,0,no,0,0,no,0,10,7,9,Sports Science
arts,female,6,5,354,yes,3,no,0,8,2,no,9,10,no,0,yes,software,0,0,no,0,0,yes,enterprise,8,8,7,Marketing Management
commerce,other,4,8,258,no,0,yes,theatre,8,8,yes,3,2,no,0,no,0,0,0,no,0,0,yes,enterprise,2,1,2,Theatre & Tourism
commerce,male,8,8,439,yes,3,no,0,7,8,no,5,2,no,0,no,0,0,0,no,0,0,yes,enterprise,5,4,2,Teaching
arts,female,3,10,139,yes,4,yes,tourism,7,0,no,5,4,yes,8,no,0,0,0,yes,nutritionist,orthopaedic,no,0,3,2,3,Sports Science
maths,other,5,4,110,no,0,no,0,1,5,yes,3,3,no,0,no,0,0,0,yes,nutritionist,pediatrician,yes,construction,6,10,2,Medicine and Nutrition
commerce,other,0,9,248,yes,1,no,0,4,9,no,7,4,no,0,no,0,0,0,yes,medical,physician,yes,industrial,2,1,4,Medicine and Nutrition
commerce,female,3,0,207,no,0,no,0,3,0,yes,2,5,yes,4,no,0,0,0,yes,nutritionist,physician,yes,agriculture,1,9,9,Medicine and Nutrition
none,male,5,3,266,no,0,yes,tourism,6,3,yes,1,6,yes,4,no,0,0,0,yes,nutritionist,pediatrician,no,0,9,5,2,Medicine and Nutrition
maths,male,8,9,392,no,0,no,0,9,10,no,6,8,yes,2,yes,software,0,0,no,0,0,no,0,9,6,6,Teaching
arts,other,3,6,325,no,0,no,0,9,2,no,4,7,no,0,no,0,0,0,yes,nutritionist,veterinary,no,0,4,5,6,Medicine and Nutrition
none,male,4,2,13,yes,1,yes,theatre,3,8,no,10,7,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,no,0,3,10,4,Theatre & Tourism
maths,other,1,4,171,no,0,yes,literature,0,6,yes,8,2,yes,9,yes,software,0,0,no,0,0,yes,industrial,8,6,6,Chemical Engineering
maths,female,2,2,226,no,0,no,0,5,5,yes,5,6,yes,7,no,0,0,0,no,0,0,yes,enterprise,2,5,4,Chemical Engineering
bio,female,5,4,296,no,0,yes,tourism,4,1,yes,1,1,yes,5,no,0,0,0,no,0,0,yes,construction,10,7,10,Business/Industrial Mngmnt.
bio,female,9,1,450,no,0,yes,theatre,4,4,yes,2,2,yes,8,no,0,0,0,yes,medical,dental,yes,industrial,4,6,2,Theatre & Tourism
maths,female,10,6,489,no,0,no,0,6,9,no,5,1,yes,1,no,0,0,0,no,0,0,yes,enterprise,3,5,8,Business/Industrial Mngmnt.
commerce,female,8,0,358,yes,4,yes,music,4,5,no,7,5,yes,10,yes,software,0,0,no,0,0,yes,enterprise,5,10,2,Sports Science
none,male,4,0,78,no,0,yes,music,0,0,yes,4,4,yes,4,no,0,0,0,yes,nutritionist,pediatrician,no,0,5,1,9,Medicine and Nutrition
arts,male,8,5,418,no,0,no,0,3,2,no,5,6,yes,1,yes,software,0,0,yes,medical,pediatrician,yes,enterprise,1,5,3,Medicine and Nutrition
bio,female,3,9,214,no,0,no,0,4,0,no,5,10,yes,5,no,0,0,0,yes,nutritionist,dental,yes,agriculture,10,3,8,Medicine and Nutrition
bio,male,3,2,91,yes,1,no,0,5,6,yes,4,7,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,enterprise,6,2,4,Medicine and Nutrition
maths,male,7,4,397,no,0,no,0,3,8,yes,10,8,yes,3,yes,software,0,0,yes,medical,pediatrician,no,0,10,7,4,Marketing Management
bio,other,1,3,197,yes,3,yes,tourism,2,7,no,6,10,yes,6,no,0,0,0,no,0,0,yes,industrial,9,1,7,Business/Industrial Mngmnt.
maths,male,4,9,6,yes,4,yes,fineart,0,4,yes,8,7,no,0,no,0,0,0,no,0,0,yes,agriculture,10,4,2,Sports Science
commerce,other,7,4,378,yes,1,yes,theatre,8,8,no,2,6,no,0,no,0,0,0,no,0,0,yes,enterprise,3,8,5,Theatre & Tourism
commerce,male,7,7,434,no,0,no,0,0,1,no,2,8,no,0,no,0,0,0,no,0,0,no,0,7,7,4,UPSC/GPSC etc.
maths,male,10,3,477,yes,5,no,0,1,2,yes,10,10,no,0,no,0,0,0,no,0,0,yes,industrial,10,3,2,Sports Science
bio,other,9,10,366,no,0,yes,tourism,9,0,no,3,7,no,0,yes,software,0,0,yes,nutritionist,dental,no,0,5,6,3,Medicine and Nutrition
bio,other,8,4,485,no,0,no,0,9,2,no,10,9,no,0,yes,software,0,0,no,0,0,yes,enterprise,1,8,9,Marketing Management
bio,male,0,10,298,yes,1,yes,literature,0,3,yes,7,3,no,0,yes,hardware,0,0,yes,nutritionist,physician,no,0,10,8,2,Medicine and Nutrition
commerce,female,9,5,397,yes,4,no,0,5,9,yes,3,2,no,0,no,0,0,0,yes,medical,dental,no,0,9,6,9,Sports Science
none,other,10,4,390,yes,4,no,0,1,4,yes,2,9,no,0,no,0,0,0,no,0,0,yes,construction,8,6,5,Sports Science
commerce,male,4,9,153,no,0,no,0,2,10,yes,7,1,yes,3,yes,software,0,0,no,0,0,no,0,5,4,1,ARTS
none,other,10,8,417,yes,3,no,0,6,3,no,10,5,yes,8,no,0,0,0,no,0,0,yes,enterprise,10,7,2,Chemical Engineering
maths,male,6,4,338,yes,4,yes,theatre,0,9,yes,10,1,yes,7,yes,software,0,0,no,0,0,no,0,10,7,1,Sports Science
bio,male,3,4,80,no,0,no,0,3,7,no,2,9,yes,10,yes,software,0,0,no,0,0,no,0,5,5,5,Chemical Engineering
maths,male,8,8,421,no,0,no,0,4,8,yes,7,1,yes,1,yes,hardware,0,0,yes,medical,physician,yes,agriculture,4,5,4,Medicine and Nutrition
commerce,other,9,0,347,yes,5,no,0,10,8,yes,7,4,yes,7,yes,hardware,0,0,no,0,0,no,0,7,3,8,Sports Science
commerce,female,9,4,366,no,0,yes,fineart,7,4,no,3,4,yes,9,yes,software,0,0,yes,nutritionist,dental,no,0,8,3,10,Chemical Engineering
maths,female,0,9,270,yes,5,yes,theatre,4,8,no,3,6,yes,1,yes,hardware,0,0,yes,medical,veterinary,no,0,1,8,6,Sports Science
bio,other,4,5,140,no,0,yes,theatre,8,3,no,7,8,no,0,yes,software,0,0,no,0,0,yes,construction,10,5,2,Theatre & Tourism
commerce,other,0,8,87,yes,1,yes,tourism,4,3,no,2,8,yes,9,no,0,0,0,yes,nutritionist,veterinary,yes,construction,1,3,6,Chemical Engineering
maths,other,6,5,396,yes,5,no,0,0,3,no,7,4,no,0,yes,hardware,0,0,no,0,0,yes,enterprise,4,3,2,Sports Science
commerce,male,7,10,407,no,0,yes,tourism,6,4,yes,9,1,yes,4,no,0,0,0,yes,medical,pediatrician,yes,construction,2,10,3,Medicine and Nutrition
bio,other,2,2,125,no,0,no,0,4,8,yes,7,6,no,0,no,0,0,0,yes,medical,orthopaedic,yes,industrial,1,2,1,Marketing Management
bio,other,7,3,346,no,0,yes,literature,9,10,no,8,8,no,0,yes,software,0,0,yes,nutritionist,physician,no,0,1,6,6,Teaching
none,female,9,1,408,yes,5,yes,music,9,4,yes,8,8,no,0,yes,hardware,0,0,no,0,0,yes,agriculture,3,9,2,Sports Science
commerce,other,10,5,380,yes,1,yes,tourism,1,6,no,8,4,yes,5,yes,software,0,0,yes,medical,orthopaedic,no,0,5,8,8,Medicine and Nutrition
commerce,female,5,1,26,yes,5,no,0,5,7,yes,4,2,yes,9,yes,software,0,0,yes,nutritionist,veterinary,yes,construction,2,7,9,Sports Science
arts,male,0,5,144,no,0,yes,music,0,5,no,10,2,yes,3,no,0,0,0,yes,nutritionist,veterinary,yes,enterprise,2,3,1,Medicine and Nutrition
arts,other,2,8,247,no,0,no,0,8,6,yes,6,1,no,0,yes,software,0,0,yes,nutritionist,veterinary,yes,enterprise,7,2,8,Teaching
none,female,7,9,452,yes,5,yes,music,9,3,no,5,9,yes,4,no,0,0,0,yes,nutritionist,orthopaedic,no,0,6,5,7,Sports Science
none,other,6,6,473,yes,2,no,0,6,9,no,6,6,yes,1,no,0,0,0,yes,medical,dental,yes,construction,1,5,1,Medicine and Nutrition
none,female,9,6,481,no,0,yes,theatre,3,2,yes,4,7,yes,2,yes,hardware,0,0,yes,nutritionist,pediatrician,no,0,9,4,7,Theatre & Tourism
arts,male,0,8,330,no,0,no,0,2,3,no,2,7,yes,6,no,0,0,0,no,0,0,yes,construction,7,5,10,Business/Industrial Mngmnt.
maths,male,4,7,173,no,0,no,0,0,10,no,6,4,no,0,no,0,0,0,yes,medical,pediatrician,yes,enterprise,9,2,3,Medicine and Nutrition
none,female,9,4,409,no,0,no,0,6,0,no,8,4,no,0,no,0,0,0,yes,nutritionist,physician,no,0,6,7,5,Medicine and Nutrition
none,female,3,10,219,no,0,no,0,6,9,no,8,3,yes,7,no,0,0,0,yes,medical,orthopaedic,yes,enterprise,7,1,4,Chemical Engineering
arts,female,5,7,176,yes,3,yes,fineart,6,5,no,2,10,yes,5,yes,software,0,0,no,0,0,yes,industrial,1,2,8,Business/Industrial Mngmnt.
commerce,female,5,5,305,no,0,yes,literature,2,8,no,6,9,yes,7,yes,software,0,0,no,0,0,no,0,9,1,7,Chemical Engineering
maths,other,0,2,38,yes,4,yes,music,8,6,no,9,2,no,0,no,0,0,0,no,0,0,no,0,4,2,3,Sports Science
arts,other,6,6,444,yes,5,no,0,10,4,yes,6,7,yes,6,yes,software,0,0,no,0,0,no,0,2,6,10,Sports Science
commerce,other,7,6,486,yes,2,yes,tourism,8,0,no,9,10,no,0,no,0,0,0,no,0,0,yes,construction,1,2,2,Marketing Management
bio,male,4,0,52,no,0,no,0,7,8,yes,7,9,no,0,no,0,0,0,no,0,0,no,0,5,8,7,Teaching
none,other,4,9,290,yes,5,yes,tourism,0,5,no,1,10,no,0,yes,hardware,0,0,no,0,0,yes,construction,5,8,5,Sports Science
bio,other,8,9,380,no,0,no,0,3,5,yes,6,9,no,0,yes,software,0,0,yes,medical,orthopaedic,no,0,8,4,2,Medicine and Nutrition
maths,male,0,0,0,no,0,no,0,4,7,no,6,5,yes,5,yes,software,0,0,no,0,0,no,0,4,8,8,CA/CS/Banking
arts,male,5,3,209,yes,3,yes,theatre,5,5,no,8,5,yes,7,no,0,0,0,no,0,0,yes,construction,1,2,9,Theatre & Tourism
maths,female,0,2,101,yes,3,no,0,8,2,yes,8,8,no,0,yes,hardware,0,0,yes,medical,dental,yes,construction,3,1,10,Marketing Management
commerce,male,5,10,159,no,0,yes,fineart,10,8,no,9,7,no,0,no,0,0,0,no,0,0,no,0,1,2,1,Teaching
none,male,9,0,333,yes,1,no,0,8,3,no,1,4,yes,2,yes,hardware,0,0,no,0,0,no,0,10,2,3,UPSC/GPSC etc.
commerce,male,4,8,305,yes,5,yes,literature,8,10,yes,9,6,yes,8,no,0,0,0,no,0,0,yes,enterprise,5,8,7,Sports Science
none,other,1,7,260,yes,2,yes,theatre,9,4,no,6,8,yes,1,yes,software,0,0,no,0,0,yes,agriculture,2,4,5,Theatre & Tourism
bio,female,7,6,452,yes,5,yes,literature,8,9,no,3,9,no,0,no,0,0,0,no,0,0,no,0,6,6,6,Sports Science
commerce,female,6,4,425,no,0,yes,literature,3,9,yes,8,1,no,0,yes,software,0,0,yes,medical,physician,no,0,5,2,9,Medicine and Nutrition
arts,male,9,2,342,yes,3,yes,literature,0,8,yes,7,4,yes,6,yes,software,0,0,yes,nutritionist,pediatrician,yes,industrial,3,1,1,Medicine and Nutrition
none,male,3,4,12,yes,1,no,0,6,1,yes,9,3,yes,8,yes,hardware,0,0,no,0,0,no,0,9,5,9,Chemical Engineering
maths,other,0,4,187,no,0,yes,tourism,8,6,no,9,2,yes,2,no,0,0,0,no,0,0,no,0,6,8,10,Teaching
maths,male,1,6,24,no,0,no,0,5,10,yes,2,10,yes,6,yes,software,0,0,yes,nutritionist,dental,no,0,10,7,2,Medicine and Nutrition
commerce,other,10,7,336,yes,4,yes,literature,8,6,yes,7,5,yes,3,yes,hardware,0,0,yes,medical,dental,yes,enterprise,6,7,6,Sports Science
bio,other,0,2,33,yes,5,yes,literature,9,0,yes,3,7,yes,8,yes,software,0,0,yes,medical,physician,no,0,7,5,1,Sports Science
maths,male,10,6,495,yes,5,yes,tourism,8,2,yes,3,8,no,0,no,0,0,0,no,0,0,yes,agriculture,9,4,1,Sports Science
arts,other,6,4,372,no,0,yes,literature,2,8,yes,9,1,yes,10,yes,hardware,0,0,yes,nutritionist,orthopaedic,no,0,10,1,3,Chemical Engineering
commerce,other,1,8,260,no,0,no,0,3,4,yes,8,7,yes,3,no,0,0,0,no,0,0,yes,agriculture,7,10,10,Marketing Management
bio,female,3,7,53,yes,1,yes,fineart,8,5,yes,1,2,yes,4,no,0,0,0,no,0,0,yes,agriculture,4,8,4,Business/Industrial Mngmnt.
bio,female,2,6,12,yes,1,yes,theatre,4,8,no,5,2,yes,2,no,0,0,0,no,0,0,no,0,2,1,2,Theatre & Tourism
bio,other,3,6,215,yes,3,no,0,0,10,yes,4,9,yes,6,no,0,0,0,yes,medical,physician,no,0,5,3,1,Medicine and Nutrition
arts,other,10,2,335,yes,3,no,0,9,5,yes,8,6,no,0,no,0,0,0,no,0,0,yes,construction,4,9,7,Marketing Management
commerce,male,2,6,158,yes,1,no,0,0,2,no,2,9,no,0,yes,software,0,0,yes,medical,orthopaedic,no,0,5,1,1,Medicine and Nutrition
bio,female,6,0,486,no,0,no,0,8,0,yes,3,4,yes,10,no,0,0,0,yes,medical,veterinary,no,0,9,6,3,Chemical Engineering
bio,male,3,2,92,yes,4,no,0,5,9,yes,9,8,no,0,no,0,0,0,yes,nutritionist,pediatrician,yes,construction,4,5,7,Sports Science
bio,male,8,2,438,yes,4,no,0,6,1,no,6,9,yes,4,no,0,0,0,no,0,0,no,0,2,3,10,Sports Science
commerce,male,0,1,42,yes,1,no,0,4,1,no,3,9,yes,10,no,0,0,0,no,0,0,no,0,6,10,8,Chemical Engineering
arts,other,10,6,409,no,0,no,0,10,6,yes,9,10,yes,6,yes,software,0,0,no,0,0,yes,construction,1,2,7,Teaching
none,male,4,1,55,yes,4,yes,tourism,1,10,yes,10,9,no,0,no,0,0,0,yes,medical,pediatrician,yes,enterprise,6,7,4,Sports Science
bio,female,8,0,351,no,0,no,0,6,9,no,3,2,yes,6,no,0,0,0,yes,nutritionist,orthopaedic,no,0,5,7,8,Medicine and Nutrition
none,other,2,1,27,no,0,no,0,8,1,no,8,4,no,0,no,0,0,0,yes,medical,physician,yes,agriculture,1,9,9,Medicine and Nutrition
none,male,9,8,359,no,0,yes,tourism,5,9,no,6,2,no,0,no,0,0,0,no,0,0,yes,enterprise,4,2,2,Business/Industrial Mngmnt.
maths,male,2,2,204,yes,3,yes,theatre,0,1,no,7,3,yes,2,yes,software,0,0,yes,medical,pediatrician,no,0,9,8,5,Theatre & Tourism
commerce,female,7,3,426,yes,5,yes,literature,5,1,no,6,7,no,0,no,0,0,0,no,0,0,yes,agriculture,10,7,9,Sports Science
commerce,female,9,1,384,no,0,no,0,7,2,no,1,2,no,0,no,0,0,0,yes,nutritionist,orthopaedic,yes,industrial,9,1,2,Medicine and Nutrition
arts,female,1,8,269,yes,4,no,0,1,7,yes,8,10,yes,1,yes,hardware,0,0,no,0,0,yes,construction,1,1,4,Sports Science
commerce,female,5,1,49,no,0,yes,tourism,8,7,no,3,9,no,0,yes,software,0,0,yes,medical,physician,no,0,5,10,6,Teaching
maths,other,2,6,115,yes,4,no,0,5,2,yes,5,1,no,0,yes,software,0,0,yes,nutritionist,physician,yes,enterprise,2,9,1,Sports Science
bio,other,5,6,162,no,0,no,0,1,7,no,9,2,no,0,yes,hardware,0,0,yes,nutritionist,physician,yes,enterprise,1,4,5,Medicine and Nutrition
maths,other,9,8,388,yes,5,no,0,3,1,no,7,9,yes,9,no,0,0,0,yes,medical,pediatrician,yes,industrial,3,6,9,Sports Science
commerce,male,0,8,24,no,0,no,0,7,6,yes,2,3,no,0,no,0,0,0,no,0,0,no,0,1,1,10,Teaching
commerce,female,1,9,167,no,0,no,0,0,8,yes,2,3,yes,7,yes,hardware,0,0,no,0,0,no,0,1,4,4,Chemical Engineering
bio,female,6,0,342,yes,5,yes,fineart,9,1,no,2,2,no,0,yes,hardware,0,0,no,0,0,no,0,4,9,3,Sports Science
none,other,0,9,302,no,0,no,0,4,5,no,2,6,yes,1,no,0,0,0,no,0,0,no,0,8,6,6,UPSC/GPSC etc.
bio,female,10,0,498,yes,2,no,0,0,8,yes,9,5,yes,7,yes,hardware,0,0,yes,medical,orthopaedic,yes,enterprise,10,4,3,Chemical Engineering
arts,other,2,4,197,no,0,no,0,8,3,no,5,8,no,0,no,0,0,0,no,0,0,no,0,3,1,5,Graphics & Designing
arts,other,5,5,94,no,0,yes,literature,1,0,yes,10,8,yes,10,yes,hardware,0,0,no,0,0,yes,agriculture,4,5,2,Marketing Management
bio,male,5,3,143,yes,3,yes,music,0,7,yes,9,2,no,0,yes,software,0,0,yes,medical,orthopaedic,no,0,4,2,1,Medicine and Nutrition
commerce,female,4,10,198,no,0,yes,literature,7,2,yes,7,5,yes,1,yes,software,0,0,no,0,0,yes,agriculture,9,4,8,Business/Industrial Mngmnt.
none,other,8,3,369,yes,2,yes,literature,6,9,no,9,4,yes,6,no,0,0,0,yes,medical,orthopaedic,yes,construction,10,5,9,Medicine and Nutrition
maths,male,4,10,287,no,0,yes,music,3,0,no,4,3,yes,9,yes,software,0,0,yes,nutritionist,physician,yes,construction,6,7,10,Chemical Engineering
arts,other,10,7,406,no,0,no,0,1,8,yes,3,9,yes,9,yes,software,0,0,yes,medical,pediatrician,no,0,3,2,2,Chemical Engineering
none,other,2,1,175,yes,4,yes,theatre,4,10,yes,8,7,no,0,no,0,0,0,no,0,0,yes,agriculture,6,6,1,Sports Science
arts,female,1,10,215,yes,1,yes,literature,9,10,yes,5,9,yes,3,yes,software,0,0,no,0,0,no,0,7,8,5,Teaching
commerce,other,9,3,458,yes,5,yes,tourism,2,6,no,10,4,no,0,yes,software,0,0,yes,medical,veterinary,yes,industrial,3,5,6,Sports Science
none,other,6,1,363,no,0,yes,tourism,3,1,yes,1,6,yes,7,yes,hardware,0,0,no,0,0,no,0,1,1,10,Chemical Engineering
none,female,4,2,219,yes,1,yes,literature,5,1,no,1,1,yes,5,yes,hardware,0,0,yes,nutritionist,veterinary,no,0,4,7,5,Medicine and Nutrition
arts,other,9,0,470,no,0,no,0,1,7,no,5,6,no,0,no,0,0,0,no,0,0,no,0,2,1,5,Graphics & Designing
commerce,male,8,6,473,yes,4,yes,theatre,6,6,yes,2,1,no,0,no,0,0,0,no,0,0,no,0,5,5,10,Sports Science
arts,male,0,9,301,yes,2,no,0,10,0,no,10,6,yes,5,no,0,0,0,yes,medical,veterinary,yes,industrial,6,3,10,Marketing Management
commerce,female,10,4,425,no,0,no,0,3,7,no,9,10,no,0,yes,software,0,0,no,0,0,no,0,3,6,4,Marketing Management
none,male,9,10,373,no,0,yes,music,10,2,yes,7,7,no,0,yes,software,0,0,no,0,0,yes,construction,10,4,6,Marketing Management
none,female,1,10,315,no,0,no,0,1,8,no,7,2,no,0,no,0,0,0,no,0,0,no,0,5,7,9,CA/CS/Banking
arts,other,3,7,26,no,0,yes,tourism,1,2,no,2,10,yes,9,no,0,0,0,no,0,0,yes,construction,5,7,1,Chemical Engineering
none,female,3,8,291,yes,2,yes,fineart,9,4,yes,6,4,no,0,no,0,0,0,yes,nutritionist,physician,no,0,5,3,4,Medicine and Nutrition
commerce,other,4,8,80,yes,3,no,0,1,2,no,4,5,yes,1,no,0,0,0,yes,medical,physician,no,0,6,5,6,Medicine and Nutrition
maths,other,1,0,139,yes,5,no,0,10,5,no,6,1,yes,5,yes,software,0,0,no,0,0,yes,enterprise,7,7,9,Sports Science
bio,female,7,6,442,no,0,yes,theatre,5,5,yes,9,10,yes,7,yes,software,0,0,no,0,0,no,0,7,9,5,Theatre & Tourism
none,male,7,2,488,no,0,yes,theatre,4,3,yes,9,4,no,0,no,0,0,0,yes,nutritionist,dental,yes,construction,7,6,7,Theatre & Tourism
maths,female,2,0,157,yes,4,yes,literature,8,10,yes,9,10,yes,1,no,0,0,0,yes,medical,dental,yes,agriculture,1,3,3,Sports Science
maths,female,8,7,451,yes,5,yes,tourism,5,10,yes,4,5,yes,3,yes,software,0,0,no,0,0,yes,construction,1,7,2,Sports Science
arts,female,10,1,408,no,0,no,0,9,5,no,10,7,no,0,yes,hardware,0,0,no,0,0,no,0,8,8,6,Marketing Management
bio,male,7,9,488,yes,5,no,0,8,9,no,1,8,no,0,no,0,0,0,yes,nutritionist,veterinary,no,0,4,7,3,Sports Science
commerce,other,6,4,410,no,0,yes,theatre,3,10,no,6,10,yes,5,yes,hardware,0,0,no,0,0,no,0,4,1,4,Theatre & Tourism
arts,other,0,8,25,no,0,no,0,1,10,yes,5,10,no,0,no,0,0,0,no,0,0,yes,construction,2,5,8,Business/Industrial Mngmnt.
commerce,male,4,2,214,no,0,no,0,0,0,no,5,7,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,enterprise,1,7,3,Medicine and Nutrition
maths,female,5,10,317,no,0,no,0,2,2,yes,3,2,no,0,yes,hardware,0,0,yes,nutritionist,orthopaedic,yes,industrial,10,7,7,Medicine and Nutrition
commerce,female,8,8,424,yes,4,yes,tourism,6,10,yes,7,2,yes,8,no,0,0,0,no,0,0,no,0,10,4,1,Sports Science
commerce,male,9,4,450,no,0,no,0,8,9,yes,2,10,yes,1,no,0,0,0,yes,nutritionist,dental,no,0,9,3,4,Teaching
commerce,other,7,0,422,no,0,no,0,2,9,yes,7,5,no,0,yes,software,0,0,no,0,0,no,0,1,6,2,CA/CS/Banking
maths,female,8,6,336,yes,5,yes,fineart,9,4,yes,9,2,yes,8,no,0,0,0,yes,medical,physician,no,0,9,5,10,Sports Science
